时间(s),釜温 RT(釜),探针 P1,探针 P2,探针 P3,探针 P4,探针 P5,探针 P6
1600,121.31,120.43,119.74,118.2,119.02,120.09,119.25
1620,121.34,120.69,120.08,118.62,119.45,120.36,119.53
1650,121.38,120.82,120.25,118.83,119.66,120.49,119.58
1670,121.39,120.94,120.41,119.04,119.86,120.62,119.65
1695,121.4,121.01,120.49,119.14,119.96,120.69,119.61
1710,121.4,121.08,120.58,119.26,120.08,120.76,119.61
1730,121.39,121.15,120.68,119.39,120.21,120.84,119.61
1760,121.36,121.2,120.74,119.46,120.27,120.89,119.48
1780,121.33,121.23,120.79,119.53,120.34,120.93,119.4
1805,121.29,121.25,120.81,119.56,120.37,120.94,119.27
1820,121.25,121.26,120.84,119.6,120.41,120.96,119.2
1840,121.21,121.27,120.86,119.63,120.44,120.96,119.09
1870,121.14,121.26,120.85,119.64,120.45,120.95,118.9
1890,121.09,121.24,120.84,119.64,120.44,120.93,118.78
1915,121.03,121.22,120.83,119.63,120.44,120.92,118.62
1930,120.99,121.19,120.81,119.61,120.42,120.89,118.52
1950,120.95,121.14,120.76,119.58,120.39,120.84,118.38
1980,120.89,121.1,120.73,119.54,120.35,120.8,118.2
2000,120.85,121.04,120.68,119.5,120.31,120.74,118.08
2025,120.82,121.01,120.64,119.47,120.27,120.71,117.96
2040,120.81,120.96,120.6,119.42,120.23,120.66,117.88
2060,120.8,120.9,120.53,119.36,120.17,120.6,117.78
2090,120.8,120.86,120.49,119.32,120.13,120.56,117.7
2110,120.81,120.81,120.44,119.27,120.08,,117.65
2135,120.84,120.79,120.42,119.24,120.05,120.49,117.63
2150,120.86,120.76,120.39,119.21,120.01,120.46,117.59
2170,120.89,120.74,120.35,119.17,119.97,120.44,117.56
2200,120.95,120.73,120.34,119.16,119.95,120.43,117.54
2220,121,120.73,120.33,119.14,119.94,120.43,117.54
2245,121.06,120.74,120.34,119.14,119.94,120.44,117.54
2260,121.1,120.75,120.34,119.14,119.94,120.45,117.54
2280,121.14,120.78,120.37,119.16,119.95,120.48,117.56
2310,121.22,120.81,120.39,119.18,119.98,120.51,117.59
2330,121.26,120.86,120.43,119.22,120.01,120.56,117.62
2355,121.31,120.89,120.46,119.24,120.03,120.59,117.65
2370,121.34,120.93,120.5,119.28,120.07,120.63,117.69
2390,121.36,121,120.56,119.33,120.13,120.7,117.75
2420,121.39,121.04,120.61,119.38,120.17,120.74,117.8
2440,121.4,121.1,120.66,119.43,120.23,120.8,117.85
2465,121.4,121.13,120.7,119.47,120.26,120.83,117.89
2480,121.39,121.17,120.74,119.51,120.3,120.87,117.93
2500,121.37,121.21,120.79,119.56,120.36,120.91,117.98
2530,121.34,121.24,120.82,119.59,120.39,120.94,118.01
2550,121.3,121.26,120.84,119.62,120.42,120.96,118.04
2575,121.25,121.27,120.86,119.64,120.44,120.97,118.05
2590,121.22,121.27,120.86,119.65,120.45,120.97,118.06
2610,121.17,121.27,120.87,119.66,120.46,120.96,118.07
2640,121.1,121.25,120.86,119.66,120.46,120.95,118.06
2660,121.05,121.22,120.84,119.64,120.45,120.92,118.04
2685,120.99,121.2,120.81,119.62,120.43,120.89,118.02
2700,120.95,121.16,120.79,119.6,120.41,120.86,117.99
2720,120.91,121.11,120.74,119.56,120.36,120.81,117.94
2750,120.86,121.06,120.7,119.52,120.33,120.76,117.9
2770,120.83,121.01,120.64,119.47,120.28,120.71,117.85
2795,120.81,120.97,120.61,119.43,120.24,120.67,117.82
2810,120.8,120.93,120.56,119.39,120.2,120.63,117.77
2830,120.8,120.87,120.5,119.33,120.14,120.57,117.71
2860,120.81,120.83,120.46,119.29,120.09,120.53,117.67
2880,120.83,120.79,120.42,119.24,120.05,120.49,117.62
2905,120.86,120.77,120.39,119.22,120.02,120.47,117.6
2920,120.88,120.75,120.37,119.19,119.99,120.45,117.57
2940,120.92,120.73,120.34,119.16,119.96,120.43,117.55
2970,120.99,120.73,120.33,119.15,119.94,120.43,117.54
2990,121.04,120.73,120.33,119.14,119.94,120.44,117.54
3015,121.07,120.75,120.34,119.14,119.94,120.45,117.54
3030,121,120.77,120.36,119.15,119.95,120.47,117.55
3050,120.82,120.8,120.39,119.18,119.97,120.51,117.58
3080,120.39,120.84,120.42,119.2,120,120.54,117.61
3100,120,120.9,120.46,119.24,120.03,120.6,117.65
3125,119.41,120.9,120.48,119.27,120.07,120.59,117.68
3140,118.99,120.86,120.48,119.28,120.09,120.55,117.68
3160,118.37,120.72,120.39,119.23,120.06,120.4,117.61
3190,117.31,120.5,120.23,119.11,119.94,120.18,117.46
3210,116.51,120.16,119.95,118.88,119.73,119.83,117.2
3235,115.42,119.86,119.7,118.66,119.52,119.53,116.96
3250,114.72,119.42,119.32,118.33,119.21,119.09,116.61
3270,113.74,118.72,118.7,117.78,118.67,118.39,116.01
3300,112.15,118.08,118.13,117.26,118.15,117.75,115.45
3320,111.02,117.24,117.35,116.55,117.45,116.9,114.7
3345,109.53,116.61,116.78,116.02,116.93,116.28,114.14
3360,108.6,115.78,116.01,115.3,116.22,115.45,113.39
3380,107.32,114.55,114.85,114.2,115.13,114.22,112.24
3410,105.32,113.53,113.89,113.29,114.23,113.2,111.3
3430,103.93,112.25,112.67,112.13,113.08,111.92,110.1
3455,102.14,111.36,111.82,111.33,112.27,111.03,109.27
3470,101.04,110.2,110.71,110.26,111.21,109.88,108.17
3490,99.54,108.53,109.1,108.71,109.66,108.21,106.58
3520,97.23,107.21,107.84,107.51,108.45,106.9,105.34
3540,95.66,105.59,106.29,106.04,106.95,105.3,103.8
3565,93.66,104.49,105.24,105.06,105.94,104.22,102.77
3580,92.44,103.08,103.88,103.8,104.64,102.82,101.44
3600,90.79,101.08,101.96,101.99,102.78,100.85,99.54
3630,88.29,99.54,100.48,100.64,101.37,99.34,98.09
3650,86.61,97.67,98.69,98.99,99.65,97.5,96.33
3675,84.49,96.42,97.49,97.9,98.5,96.27,95.15
3690,83.2,94.82,95.96,96.49,97.03,94.71,93.64
3710,81.49,92.6,93.8,94.47,94.94,92.51,91.51
3740,78.91,90.9,92.16,92.96,93.36,90.84,89.89
3760,77.19,88.87,90.18,91.09,91.44,88.82,87.93
3785,75.04,87.52,88.86,89.85,90.16,87.48,86.63
3800,73.75,85.81,87.18,88.24,88.52,85.79,84.97
3820,72.04,83.45,84.83,85.95,86.21,83.43,82.63
3850,69.49,81.67,83.08,84.24,84.48,81.66,80.89
3870,67.81,79.56,80.98,82.18,82.4,79.55,78.8
3895,65.72,78.18,79.61,80.83,81.04,78.17,77.43
3910,64.48,76.44,77.88,79.12,79.31,76.43,75.7
3930,62.85,74.05,75.48,76.71,76.91,74.04,73.29
3960,60.44,72.28,73.71,74.96,75.15,72.27,71.53
3980,58.87,70.18,71.61,72.86,73.04,70.18,69.43
4005,56.94,68.82,70.26,71.51,71.69,68.83,68.08
4020,55.81,67.13,68.55,69.81,69.98,67.13,66.37
4040,54.33,64.82,66.21,67.44,67.61,64.82,64.02
4070,52.17,63.12,64.51,65.74,65.9,63.13,62.32
4090,50.78,61.15,62.51,63.72,63.88,61.15,60.31
4115,49.1,59.87,61.23,62.44,62.6,59.88,59.03
4130,48.13,58.29,59.63,60.83,60.98,58.3,57.43
4150,46.88,56.17,57.46,58.62,58.76,56.17,55.24
4180,45.08,54.63,55.9,57.05,57.19,54.64,53.68
4200,43.95,52.85,54.09,55.21,55.34,52.86,51.86
4225,42.62,51.73,52.95,54.06,54.18,51.74,50.71
4240,41.86,50.34,51.53,52.62,52.73,50.36,49.29
4260,40.91,48.5,49.63,50.66,50.78,48.51,47.37
4290,39.59,47.2,48.3,49.3,49.41,47.21,46.02
4310,38.79,45.72,46.76,47.73,47.83,45.73,44.48
4335,37.9,44.8,45.82,46.76,46.86,44.82,43.53
4350,37.41,43.68,44.66,45.57,45.66,43.7,42.36
4370,36.83,42.23,43.13,43.98,44.06,42.25,40.81
4400,36.1,41.24,42.1,42.91,42.98,41.26,39.76
4420,35.71,40.15,40.94,41.7,41.76,40.17,38.58
4445,35.34,39.49,40.25,40.98,41.03,39.52,37.88
4460,35.18,38.72,39.43,40.11,40.15,38.75,37.04
4480,35.05,37.76,38.38,38.98,39.02,37.79,35.97
